,course_id,week1_start,week1_end,week2_start,week2_end,week3_start,week3_end,week4_start,week4_end
0,bWdj2GDclj5ofokWjzoa5jAwMkxCykd6,2014-05-26,2014-06-01,2014-06-02,2014-06-08,2014-06-09,2014-06-15,2014-06-16,2014-06-24
1,RXDvfPUBYFlVdlueBFbLW0mhhAyGEqpt,2014-05-25,2014-05-31,2014-06-01,2014-06-07,2014-06-08,2014-06-14,2014-06-15,2014-06-23
2,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi,2014-01-17,2014-01-23,2014-01-24,2014-01-30,2014-01-31,2014-02-06,2014-02-07,2014-02-15
3,A3fsA9Zfv1X2fVEQhTw51lKENdNrEqT3,2014-05-28,2014-06-03,2014-06-04,2014-06-10,2014-06-11,2014-06-17,2014-06-18,2014-06-26
4,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,2014-09-06,2014-09-12,2014-09-13,2014-09-19,2014-09-20,2014-09-26,2014-09-27,2014-08-07
5,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6,2013-11-12,2013-11-18,2013-11-19,2013-11-25,2013-11-26,2013-12-02,2013-12-03,2014-09-01
6,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw,2014-05-26,2014-06-01,2014-06-02,2014-06-08,2014-06-09,2014-06-15,2014-06-16,2014-06-24
7,3VkHkmOtom3jM2wCu94xgzzu1d6Dn7or,2013-01-11,2013-01-17,2013-01-18,2013-01-24,2013-01-25,2013-01-31,2013-02-01,2013-11-30
8,G8EPVSXsOYB5YQWZGiz1aVq5Pgr2GrQu,2014-05-25,2014-05-31,2014-06-01,2014-06-07,2014-06-08,2014-06-14,2014-06-15,2014-06-23
9,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2014-06-19,2014-06-25,2014-06-26,2014-07-02,2014-07-03,2014-07-09,2014-07-10,2014-07-18
